show_id;type;title;cast_in;country;release_year;rating;duration;listed_in;date_added
26;TV Show;Love on the Spectrum;Brooke Satchwell;Australia;2021;TV-14;2 Seasons;Docuseries, International TV Shows, Reality TV;21.09.2021
272;TV Show;Brand New Cherry Flavor;Rosa Salazar, Eric Lange, Catherine Keener;United States;2021;TV-MA;1 Season;TV Dramas, TV Horror, TV Mysteries;13.08.2021
273;TV Show;Fast & Furious Spy Racers;Tyler Posey, Charlet Chung, Jorge Diaz;United States;2021;TV-Y7;5 Seasons;Kids' TV;13.08.2021
274;TV Show;Gone for Good;Finnegan Oldfield, Nicolas Duvauchelle, Guillaume Gouix;France;2021;TV-MA;1 Season;Crime TV Shows, International TV Shows, TV Dramas;13.08.2021
275;TV Show;Grace and Frankie;Jane Fonda, Lily Tomlin, Martin Sheen;United States;2021;TV-MA;7 Seasons;TV Comedies, TV Dramas;13.08.2021
304;Movie;Esperando la carroza;Luis Brandoni, China Zorrilla, Antonio Gasalla;Argentina;1985;TV-MA;95 min;Comedies, Cult Movies, International Movies;05.08.2021
276;TV Show;The Kingdom;Chino Darín, Nancy Dupláa, Joaquín Furriel;Argentina;2021;TV-MA;1 Season;Crime TV Shows, International TV Shows, Spanish-Language TV Shows;13.08.2021
277;TV Show;Valeria;Diana Gómez, Silma López, Paula Malia;Spain;2021;TV-MA;2 Seasons;International TV Shows, Romantic TV Shows, Spanish-Language TV Shows;13.08.2021
278;TV Show;AlRawabi School for Girls;Andria Tayeh, Rakeen Sa'ad, Noor Taher;Jordan;2021;TV-14;1 Season;International TV Shows, TV Dramas, Teen TV Shows;12.08.2021
280;Movie;Monster Hunter: Legends of the Guild;Ben Rausch, Erica Lindbeck, Dante Basco;United States;2021;TV-PG;59 min;Action & Adventure, Anime Features, Children & Family Movies;12.08.2021
282;Movie;Brother Jekwu;Mike Ezuruonye, Juliet Ochienge, Angela Okorie;Nigeria;2016;TV-14;101 min;Comedies, International Movies;11.08.2021
283;Movie;La diosa del asfalto;Ximena Romo, Mabel Cadena, Alejandra Herrera;Mexico;2020;TV-MA;127 min;Dramas, Independent Movies, International Movies;11.08.2021
285;Movie;The Kissing Booth 3;Joey King, Joel Courtney, Jacob Elordi;United Kingdom;2021;TV-14;114 min;Comedies, Romantic Movies;11.08.2021
286;Movie;The Railway Man;Colin Firth, Nicole Kidman, Jeremy Irvine;Switzerland;2013;R;108 min;Dramas, International Movies;11.08.2021
287;TV Show;Gabby's Dollhouse;Laila Lockhart Kraner, Tucker Chandler, Juliet Donenfeld;United States;2021;TV-Y;2 Seasons;Kids' TV;10.08.2021
